name,employer
Nicholas M. Nagy-Talavera,"California State University, Chico"
Nicholas Merrill,The Calyx Institute
Nicholas Monro,Chelsea College of Art and Design
Nick Brockmayer,Platinum Sports and Entertainment
Nick Hewer,Amstrad
Nick Knowles,BBC
Nick Owen,BBC
Nick Wirth,Wirth Research
Nicolae Lupan,TeleRadio-Moldova
Nicolae Negru,Vocea Basarabiei
Nicolai Anhorn von Hartwiss,Yalta
Nicolas Sadirac,IONIS Education Group
Niels Christian Ditleff,Ministry of Foreign Affairs (Norway)
Nigel Fisher,Government of Canada
Nihad Awad,Council on American%E2%80%93Islamic Relations
Nihal Bhareti,Sri Lanka Broadcasting Corporation
Nikolai Polikarpov,Polikarpov
Nikolay Ustryalov,Moscow State University
Nils Blythe,Bank of England
Nils Bohlin,Volvo
Nimfa Cuesta Vilches,Supreme Court of the Philippines
Nina Easton,Fortune (magazine)
Noah Mozes,Yedioth Ahronoth
Noel Capon,Columbia University
Noel Curran,Raidi%C3%B3 Teilif%C3%ADs %C3%89ireann
Noel Ignatiev,Massachusetts College of Art and Design
Noel Jones,City of Refuge Church
Norbert Haug,Mercedes-Benz
Noreen M Clark,University of Michigan
Noreen M. Culhane,New York Stock Exchange
Norman Fairclough,Lancaster University
Norman Frederick Morris,University of London
Norman Stone,University of Oxford
Norman Wait Harris,"Harris, Forbes & Co."
Nuno Pinheiro,Klar%C3%A4lvdalens Datakonsult AB
Oded Kattash,Hapoel Eilat B.C.
Ohad Naharin,Batsheva Dance Company
Olav Fjell,Hurtigruten Group
Ole Jørgen Anfindsen,University of Oslo
Olga Esina (in Russian Ольга Есина),Vienna State Ballet
Oliver McGee,Howard University
Olivier Besancenot,La Poste (France)
Olivier Galzi,I-T%C3%A9l%C3%A9
Ollie Chill,American League
Omar Treviño Morales,Los Zetas
Orio Joseph Palmer,New York City Fire Department
Orit Gadiesh,Bain & Company
Ornella Barra,Alliance Boots
Oscar Brand,WNYC
Ossian Everett Mills,New England Conservatory
Otto Fuerbringer,Time (magazine)
Otto Hermann Kahn,"Kuhn, Loeb & Co."
Owen Connellan,Royal Irish Academy
Owen Davies,University of Hertfordshire
Owen Van Natta,Zynga
Oz Griebel,MetroHartford Alliance
P. T. Usha,Indian Railways
Pablo Acosta Villarreal,Ju%C3%A1rez Cartel
Paddy Doherty,Channel 5 (UK)
Padmasree Warrior,Cisco Systems
Page Daniel,University of Bristol
Pam Royle,ITV (TV network)
Pamela Gilbert,"Cuneo Gilbert & LaDuca, LLP"
Pamela May,The Royal Ballet
Pare Lorentz,Resettlement Administration
Parvinder Singh Pasricha,Indian Police Service
Pasquale Paul Minieri,Pfizer
Pat Harvey,KCBS-TV
Pat Hughes,WGN (AM)
Pat Kenny,Raidi%C3%B3 Teilif%C3%ADs %C3%89ireann
Pat Wilson,Go-Set
Patric Dickinson,Elizabeth II
Patricia Forsythe,Sydney Business Chamber
Patrick Ball,Human Rights Data Analysis Group
Patrick Francis Kennedy,United States Department of State
Patrick Hrabe,Tube Daze Productions
Patrick Peter Chan,Composite Software
Patrick Sabatier,TMC (TV channel)
Patrick Stirling,Great Northern Railway (Great Britain)
Patrick Tyler,The Washington Post
Patterson Cecil Frederick,University of Saskatchewan
Paul Andrews,Andrews UK
Paul Ashley Chase,Warner Bros.
Paul Boucherot,Chemins de Fer du Nord
Paul Compton,University of New South Wales
Paul Crouch,Trinity Broadcasting Network
Paul Dacre,Daily Mail and General Trust
Paul Douglas,CBS News
Paul Dourish,"University of California, Irvine"
Paul Edwards,The New School
Paul G. Blazer,Swiss Oil Company
Paul Gray Hoffman,Studebaker
Paul Greenberg,Arkansas Democrat-Gazette
Paul Henry,Ten Network Holdings
Paul Hill,NASA
Paul Hudson,BBC Yorkshire and Lincolnshire
Paul Irish,Google Chrome
Paul J. Zatkovich,Amerikansky Russky Viestnik
Paul LaLonde,Cloud Ten Pictures
Paul Lewis,The Guardian
Paul McLaughlin,Scotty Brand Ltd
Paul Moody,"Waltham, Massachusetts"
Paul Nicklen,National Geographic Society
Paul Pryor,National League
Paul Robertson,Shaw Communications
Paul Shoup,Southern Pacific Transportation Company
Paul Siu,Wanli Emperor
Paul Steven Miller,University of Washington School of Law
Paul Steven Walsh,Diageo
Paul Waldau,Canisius College
Paul Warburg,Bank of the Manhattan Company
Paul Wilbur Klipsch,United States Army
Paul de Leeuw,Omroepvereniging VARA
Paulo Pinheiro,Pacific Northwest National Laboratory
Pavel Osipovich Sukhoi,Sukhoi
Pedram Javaheri,CNN International
Pedro Kanagaraya Mudaliar,French East India Company
Peggy McIntosh,Wellesley College
Per Flensburg,University College West
Percy Claude Byron,Byron Company
Percy LeBaron Spencer,Raytheon
Perry F. Rotella,Verisk Analytics
Pete Harrison,National League
Pete Souza,Federal government of the United States
Peter Anvin,Intel
Peter Barris,New Enterprise Associates
Peter Bebjak,Peter Bebjak
Peter Brimelow,Winnipeg
Peter Butler,United Kingdom
Peter Cave,Retirement
Peter Collins,Raidi%C3%B3 Teilif%C3%ADs %C3%89ireann
Peter Cundall,Australian Broadcasting Corporation
Peter Davies,The Feinstein Institute for Medical Research
Peter Edward Zuckerman,The Oregonian
Peter Erlinder,William Mitchell College of Law
Peter Fenton,Benchmark (venture capital firm)
Peter Garrison,Flying (magazine)
Peter Gow,University of St Andrews
Peter H. Diamandis,X Prize Foundation
Peter Havard-Williams,University of Otago
Peter Horrocks,BBC
Peter Karran,Isle of Man Government
Peter Larkins,Seven Network
Peter Levine,Andreessen Horowitz
Peter Lynch,Fidelity Investments
Peter M. Bowers,Boeing
Peter Magowan,San Francisco Giants
Peter Marks,The Co-operative Group
Peter McLaughlin,National League
Peter Moore,Electronic Arts
Peter Morales,Unitarian Universalist Association
Peter Murphy,Raidi%C3%B3 Teilif%C3%ADs %C3%89ireann
Peter Ramsey,DreamWorks Animation
Peter S. Kim,Merck & Co.
Peter Sands,Standard Chartered
Peter Ucko,University of Southampton
Peter Vaughan BSc,South Wales Police
Peter Wallace Hobbs,Russell Hobbs
Peter Watts,Pink Floyd
Peter William Hochachka,University of British Columbia
Peter Wuffli,UBS
Petru Bogatu,Moldova State University
Petru Soltan,Moldova State University
Phil Braidwood,Isle of Man Government
Phil Collinson,ITV (TV network)
Phil Crosby,ITT Corporation
Phil Fish,Polytron Corporation
Phil Gawne,Isle of Man Government
Phil Small,Australian Federal Police
Phil Trow,BBC
Phil Vickery,ITV (TV network)
Philip Alexander Liggett,Special Broadcasting Service
Philip Antony Jeyaretnam,Rodyk & Davidson
Philip Douglas Knights,West Midlands Police
Philip E. Sakowitz Jr.,The Coca-Cola Company
Philip Greene,Raidi%C3%B3 Teilif%C3%ADs %C3%89ireann
Philip Larkin,University of Hull
Philip Lowrie,ITV (TV network)
Philip Munger,University of Alaska Anchorage
Philippa Tomson,Sky News
Philippe Starck,Target Corporation
Phillip Schofield,ITV (TV network)
Philotheus Boehner,St. Bonaventure University
Pia Waugh,Australian Government Information Management Office
Pier Luigi Capucci,"NABA - New Academy of Fine Arts, Milan"
Pierre de Vos,University of Cape Town
Pierre-André Taguieff,Paris
Piers Morgan,The Sun (United Kingdom)
Ping Fu,Geomagic
Poul-Henning Kamp,Self-employment
Pradeep Sindhu,Juniper Networks
Prof. P. Gunasekaran,Government of Tamil Nadu
Professor Abhaya Induruwa,Canterbury Christ Church University
Professor Adam N. Joinson,University of the West of England
Professor Ananta Charan Sukla,Sambalpur University
Professor Gordon Murray,McLaren Group
Professor H A De S Gunasekara,University of Peradeniya
Professor Harendra De Silva,University of Colombo
Professor Hettige Yasasiri (H.Y) Ranjit Perera,University of Moratuwa
Professor Hettipathirannehelage Dasarathasiri (H. D) Gunawardhana,University of Colombo
Professor Janaka Ruwanpura,University of Calgary
Professor Janek Ratnatunga,University of South Australia
Professor Kumaradasa Rajasuriya,University of Colombo
Professor Lakshman Marasinghe,University of Windsor
Professor Mahinda Wijeratne,University of Ruhuna
Professor Nalin Kulatilaka,Boston University
Professor Rahula Anura Attalage,University of Moratuwa
Professor Ranjan Ramasamy,National Science Foundation of Sri Lanka
Professor Ranjith Premalal De Silva,University of Peradeniya
Professor S. Mahalingam,University of Peradeniya
Prosper Fernando,Sri Lanka Broadcasting Corporation
Prosper L,Karl Benz
Qamar Zaman,Pakistan International Airlines
Quintin Gill,Isle of Man Government
R. G. Frey,Bowling Green State University
R. Scott Clark,Westminster Seminary California
R.E. Bishop,De Havilland
Rabbi Eliyahu Essas,Aish HaTorah
Rabbi Moshe Feinstein,Mesivtha Tifereth Jerusalem
Rabbi Yitzchok Adlerstein,Yeshiva University High Schools of Los Angeles
Rachel Goslins,President's Committee on the Arts and Humanities
Rachel Schofield,BBC
Rafael Caro Quintero,Sonora Cartel
Raghida Dergham,Al-Hayat
Ragnar Tørnquist,Funcom
Rahul Aggarwal,"Arktan, Inc"
Rai Purdy,CTV Television Network
Raimund Sanders Draper,Royal Air Force
Rajat Kumar Gupta,McKinsey & Company
Rajiv Goel,Intel
Ralph Alabi,Guinness Nigeria
Ralph Eggleston,Pixar
Ralph Frary,National League
Ralph Hooper,Hawker Siddeley
Ramananda Prasad,United States Navy
Ramani Ayer,The Hartford
Ramayya Krishnan,Carnegie Mellon University
Ramon Torres Mendez,Tijuana Cartel
Randall L. Kennedy,Harvard University
Randolph Apperson Hearst,Hearst Corporation
Ranvir Singh,ITV (TV network)
Raphael von Koeber,University of Tokyo
Rashmi Singh,Live India
Rasoul Azadani,Walt Disney Animation Studios
Ray D,Today FM
Ray Davey,Corrymeela Community
Ray DiMuro,Major League Baseball
Ray Didinger,Comcast SportsNet Philadelphia
Ray Foley,Today FM
Ray Kennedy,Raidi%C3%B3 Teilif%C3%ADs %C3%89ireann
Ray Kurzweil,Google
Ray O. Johnson,Lockheed Martin
Ray Turner,University of Essex
Ray Warren,Nine Network
Ray Wert,Jalopnik
Raymond Allen Davis,Lahore
Raymond Cusick,BBC
Raymundo Almanza Morales,Los Zetas
Razzaq Gul,Express News
"Rebecca ",BBC
Rebecca Wilcox,BBC
Red Flaherty,American League
Red Jones,American League
Red Ormsby,American League
Reg Hill,Lew Grade
Regina M. Anderson,New York Public Library
Reid Anthony Railton,Thomson & Taylor
Rensis Likert,University of Michigan
René Lagrou,Divisi%C3%B3n de Informaciones
Reuben Gaylord,Congregational church
Reuben Jeffery III,United States Department of State
Rev. Dr. Forrest Church,Unitarian Church of All Souls
Rev. Edgar Palacios,"Calvary Baptist Church (Washington, D.C.)"
Rex Darwin Davis,"Bureau of Alcohol, Tobacco, Firearms and Explosives"
Rex Wailes,Robey & Co.
Rezia Wahid,Frederick Bremer School
Ricardo Samuel Goldstein,RSG Business Development & Launching New Ventures
Rich Rieker,National League
Rich Waltz,Miami Marlins
Richard A. Teague,Packard
Richard Bayard Dominick,"Manhattan Eye, Ear and Throat Hospital"
Richard Delgado,Seattle University School of Law
Richard Dick T. Antoun,Binghamton University
Richard E. Turley Jr.,The Church of Jesus Christ of Latter-day Saints
Richard Fink,Koch Industries
Richard Francis Altwasser,Sinclair Research
Richard Gray,Levelord Games
Richard Holmes,Cranfield University
Richard I Gouse,New England Institute of Technology
Richard L. Daft,Vanderbilt University
Richard Lang,Democrasoft
Richard Lapthorne,Cable & Wireless Worldwide
Richard Lui,MSNBC
Richard Mellon Scaife,Pittsburgh Tribune-Review
Richard Osman,Endemol UK
Richard VanGrunsven,Van's Aircraft
Richard Velazquez,PepsiCo
Richard Wrangham,Harvard University
Rick Ellis,Telstra
Rick O,Raidi%C3%B3 Teilif%C3%ADs %C3%89ireann
Rick Schneider-Calabash,Scarab Productions
Rick Sirvaitis,Storeboard Media
Rico Zuccaro,American League
Rie Takada,Shogakukan
Rima Maktabi,Al Arabiya
Rinko Ueda,Shueisha
Rita Katz,SITE Institute
Rob Moore,Paramount Pictures
Rob Neyer,SB Nation
Rob Pardo,Blizzard Entertainment
Rob Pike,Google
Rob Whitehurst,Freelancer
Robert A. Bryan,University of South Florida
Robert Absalom Thom,London and North Eastern Railway
Robert B. Bluey,The Heritage Foundation
Robert Barnett,Williams & Connolly
Robert Bell,Csiro
Robert Bob Moffat,IBM
Robert Bryce,Manhattan Institute for Policy Research
Robert Burnaby,Richard Moody
Robert C. Bobb,Detroit Public Schools
Robert Carr,James VI and I
Robert Chambers,University of Miami
Robert Charles Holub,University of Tennessee
Robert Edward Cox,McDonnell Douglas
Robert Ellsberg,Orbis Books
Robert Elstone,Everton F.C.
Robert G. Joseph,National Institute for Public Policy
Robert Gellately,Florida State University
Robert Gene Heil,Heil Sound
Robert H. Benmosche,American International Group
Robert H. Widmer,Convair
Robert Hale Merriman,"University of California, Berkeley"
Robert Henry Winborne Welch Jr.,James O. Welch Co.
Robert Hilferty,Bloomberg Television
Robert Hunter,Free Church of Scotland
Robert J. Mazzuca,Boy Scouts of America
Robert J. Sinclair,Saab-Scania
Robert Kee CBE,ITV (TV network)
Robert Malcolm McDowell,Federal Communications Commission
Robert Ng Chee Siong黄志祥,Sino Group
Robert Nisbet Bain,British Museum
Robert Osborne,Turner Classic Movies
Robert Price,Council for Secular Humanism
Robert Q. Marston,VCU Medical Center
Robert Sampson,United Airlines
Robert Simpson,"Newmarket, Ontario"
Robert Stevenson,Northern Lighthouse Board
Robert W. Bagley,Princeton University
Robert W. McChesney Ph.D.,University of Illinois at Urbana%E2%80%93Champaign
Robert W. Urie,London and South Western Railway
Robert White,Renault in Formula One
Robert Wilson,Philip Henslowe
Robert Winslow Gordon,"University of California, Berkeley"
Robin Day OBE,Royal Festival Hall
Robin Truth Goodman,Florida State University
Rocco Botte,Mega64
Roger Deakins,Sam Mendes
Roger M. Enoka,University of Colorado at Boulder
Roger Singleton-Turner,University of Sunderland
Roger Sutton,Canterbury Earthquake Recovery Authority
Roger W. Cressey,Good Harbor Consulting
Roger Yates,University of Wales
Rohan Abeyaratne,Massachusetts Institute of Technology
Rohan Pethiyagoda,Australian Museum
Roland Renne,Montana State University
Ron Clements,Walt Disney Animation Studios
Ron Coleman,New York
Ron Dennis CBE,McLaren Automotive
Ron Luciano,Major League Baseball
Ron MacLean,Canadian Broadcasting Corporation
Ron Porterfield,Tampa Bay Rays
Ron Wilson,Network Ten
Ronald F. Probstein,Massachusetts Institute of Technology
Ronald Hadfield,West Midlands Police
Ronald Inden,University of Chicago
Ronald Meyer,William Morris Endeavor
Ronald Takaki,"University of California, Berkeley"
Ronald Thomas Shepherd,Rolls-Royce Limited
Ronald Tudor Symond,Daily Mail
Ronan Collins,RT%C3%89 Radio 1
Ronn D. Torossian,5W Public Relations
Ross Bjork,University of Mississippi
Ross King,ITV (TV network)
Ross McKitrick,University of Guelph
Ross Stephenson,3AW
Roxy Olin,MTV
Roy Chaplin,Hawker Aircraft
Roy Chapman Andrews,American Museum of Natural History
Roy D. Chapin Jr.,Hudson Motor Car Company
Roy Stryker,Farm Security Administration
Roy Van Graflan,American League
Roy Wilkins,National Association for the Advancement of Colored People
Roy Williams,Boy Scouts of America
Rościsław Żerelik,University of Wroc%C5%82aw
Rt. Rev. Dr. Livingstone Komla Buama,"Evangelical Presbyterian Church, Ghana"
Rt. Rev. Francis Amenu,"Evangelical Presbyterian Church, Ghana"
Rudolf Diesel,Sulzer (manufacturer)
Rudolf Löb,Mendelssohn & Co.
Rudolph Thomas Bozak,Wurlitzer
Rudy Buttignol,Knowledge Network
Rupa Huq,Kingston University
Rupert Brooke,Sidgwick & Jackson
Rupert Sheldrake,"Trinity College, Cambridge"
Rupprecht Gerngroß,German Army (1935%E2%80%931945)
Russ Goetz,American League
Rusty Russell,IBM
Ruth Langsford,ITV (TV network)
Ryan C. Gordon,Loki Software
Ryan Gregorio,Meralco
Ryan Spencer Reed,Freelancer
Ryan Tubridy,Raidi%C3%B3 Teilif%C3%ADs %C3%89ireann
Ryle Nugent,Raidi%C3%B3 Teilif%C3%ADs %C3%89ireann
Rémi Mathis,Biblioth%C3%A8que nationale de France
S. Coleman Charlton,Mayfair Games
S. P. Mylvaganam,Sri Lanka Broadcasting Corporation
Sabir Ali,Indian Railways
Saeed Chmagh,Reuters
Salah Sid,BBC World Service
Salil Shetty,Amnesty International
Salim L. Lewis,Bear Stearns
Sally Bedell Smith,Vanity Fair (magazine)
Salvatore DiMauro,Columbia University Medical Center
Salvatore Rocco Pansino,Youngstown State University
Sam Cowen,94.7 Highveld Stereo
Sam Greene,The Detroit News
Sam Holley,National Association of Professional Base Ball Players
Sam Oscar Lantinga,Valve Corporation
Sam Pitroda,Prime minister
Sam Rubin,ReelzChannel
Saman Ediriweera,Sri Lanka
Samantha Armytage,Seven Network
Samantha Inoue-Harte,Funimation
Samantha Ponder,ESPN
Sameh Naguib,American University in Cairo
Sami Al-Arian,University of South Florida
Samia Ghadie,ITV plc
Samuel Birch,British Museum
Samuel H. Kim,Anyang Halla
Samuel J. Palmisano,IBM
Samuel Jacob Klein,One Laptop per Child
Samuel McLean,United States Department of State
Samuel Seabury,New York Court of Appeals
Samuel W. Seymour,Sullivan & Cromwell
Sandie Rinaldo,CTV News
Sanjaya Fernando,Cosmos Group
Sara Blakely,Spanx
Sara Ganim,The Patriot-News
Sara Nelson,Amazon.com
Sarah Leah Whitson,Human Rights Watch
Sarath Kumara de Silva,Sri Lanka
Saroj Ghose,National Council of Science Museums
Sascha Meinrath,New America Foundation
Savannah Guthrie,NBC News
Schuyler Van Rensselaer Cammann,University of Pennsylvania
Scott Baker,Mercury Radio Arts
Scott Berkun,Automattic
Scott James Remnant,Google
Scott Mills,BBC
Scott Murphy,Two Guys from Andromeda
Scott Tweedie,Eleven (TV channel)
Scotty McLennan,Stanford University
Sean Hamilton,United Stations Radio Networks
Sean Hannity,Fox News Channel
Sean O,Raidi%C3%B3 Teilif%C3%ADs %C3%89ireann
Sean Smith,United States Foreign Service
Sebastian Gorka,National Defense University
Semyon Alekseyevich Lavochkin,Lavochkin
Serafim Saca,Academy of Sciences of Moldova
Serge Letchimy,National Assembly (France)
Sergey Vladimirovich Ilyushin,Ilyushin
Seumas Milne,The Guardian
Seymour Liebergot,NASA
Seán Bán Breathnach (SBB),Raidi%C3%B3 Teilif%C3%ADs %C3%89ireann
Seán Munsanje,TV3 (Ireland)
Shabtai Rosenne,Bar-Ilan University
Sharon Ito,KXTV
Sharon Tay,MSNBC
Shaun Nichols,University of Arizona
Shawn Hamerlinck,"Scott County, Iowa"
Sheana Keane,Raidi%C3%B3 Teilif%C3%ADs %C3%89ireann
Sheena Iyengar,Columbia Business School
Sheeri K. Cabral,Mozilla Corporation
Sheila Graber,University of Sunderland
Sheila Jeffreys,University of Melbourne
Shelley Posen,Canadian Museum of Civilization
Shep Fields,Bluebird Records
Sheri McCoy,Avon Products
Shin Fujiyama,Students Helping Honduras
Shinobu Ohtaka,Shogakukan
Shirla R. McClain,University of Akron
Shirley Perera,Sri Lanka Broadcasting Corporation
Shirley Thomson,National Gallery of Canada
Shiulie Ghosh,Al Jazeera
Shoshana Felman,Emory University
Shraga Simmons,Aish HaTorah
Shōji Kawamori,Satelight
Sibila Vargas,KCBS-TV
Sid Meier,Firaxis Games
Sid Sheinberg,Universal Television
Sidney James Mark Low,Evening Standard
Sidney Weinberg,Goldman Sachs
Silma Ihram,Australian International Academy
Silviu Berejan,Academy of Sciences of Moldova
Simion Ghimpu,Art Institute of Chi%C5%9Fin%C4%83u
Simon,Royal Navy
Simon Bates,Smooth Radio
Simon Chesterman,National University of Singapore Faculty of Law
Simon McKeown,Teesside University
Simon Pulsifer,Ontario New Democratic Party
Simon Tatham,ARM Holdings
Simon Vincent McKeon,Macquarie Group
Simon Winchester,The Guardian
Simon Young,Raidi%C3%B3 Teilif%C3%ADs %C3%89ireann
Simone Legno,Tokidoki
Sina Motalebi,BBC Persian
Sinéad Ní Neachtain,TG4
Sir Bradford Leslie,Isambard Kingdom Brunel
Sir Edward Seaborne Clouston 1st Baronet,Bank of Montreal
Sir Francis Owen Garbett Williams CBE,Williams F1
Sir Frank Whittle,Royal Air Force
Sir Gervase Helwys,"Henry Howard, 1st Earl of Northampton"
Sir Ian Kennedy QC,University College London
Sir John Davis,Rank Organisation
Sir John Thynne,"Edward Seymour, 1st Duke of Somerset"
Sir Otto Kahn-Freund,London School of Economics
Sir Peter Bazalgette,Endemol
Sir Peter Gwynn-Jones,Elizabeth II
Sir Robert Lickley,Fairey Aviation Company
Sir Thomas Metcalfe Bt,East India Company
Sir Thomas Overbury,"Robert Carr, 1st Earl of Somerset"
Sir Watkin Williams-Wynn 10th Baronet,The Crown
Sir Watkin Williams-Wynn 9th Baronet,The Crown
Sister Carol Keehan D.C.,Catholic Health Association of the United States
Snježana Kordić,University of Osijek
Sol Trujillo,Telstra
Solomon Loeb,"Kuhn, Loeb & Co."
Sophia Choi,WVTM-TV
Sophie Wilson,Broadcom
Sorina Ștefârță,Timpul de diminea%C8%9B%C4%83
Spencer Christian,San Francisco
Stacy London,Westfield Group
Stamatios (Tom) M. Krimigis,Applied Physics Laboratory
Stan Boland,Nvidia
Stan Landes,National League
Stanley Alexander de Smith,London School of Economics
Stanley Lebergott,Wesleyan University
Stanley O,Merrill Lynch
Stefan Matz,Ashford Castle
Stephanie Nadolny,Funimation
Stephen Adams,Good Sam Enterprises
Stephen Angulalik,Hudson's Bay Company
Stephen Byrne,Raidi%C3%B3 Teilif%C3%ADs %C3%89ireann
Stephen C. O,University of Florida
Stephen Cole,Al Jazeera
Stephen Cusack,National League
Stephen D. Krashen,University of Southern California
Stephen Dewar Holden,Great Eastern Railway
Stephen Edred Flowers,Austin Community College District
Stephen Haddrill,Financial Reporting Council
Stephen Harriman Long,Western and Atlantic Railroad
Stephen Hislop,Free Church of Scotland
Stephen J. Luczo,Seagate Technology
Stephen Latchford,United States Foreign Service
Stephen Lee,SBS World News
Stephen Mulhern,ITV (TV network)
Stephen Pagliuca,Bain Capital
Stephen S. Roach,Yale University
Stephen S. Sternberg M.D.,Memorial Sloan%E2%80%93Kettering Cancer Center
Stephen Scott Bell,WOWT
Stephen Warren Bosworth,The Fletcher School of Law and Diplomacy
Sterling Allen Brown,Howard University
Stern Hu,Rio Tinto Group
Steve Banyard,Premier League Productions
Steve Basil,American League
Steve Box,Aardman Animations
Steve Byrnes,Speed (TV channel)
Steve Chappell,Wyle Laboratories
Steve Feinberg,Cerberus Capital Management
Steve Fields,National League
Steve Mattin,AvtoVAZ
Steve Oedekerk,Universal Studios
Steve Phillips,Sirius XM Radio
Steve Rider,ITV (TV network)
Steve Rippley,National League
Steve Ritchie,Stern (game company)
Steve Rowe,Verrill Dana
Steve Scott,ITN
Steve Yuhas,Fox News Channel
Steven C. Rattner,"Donaldson, Lufkin & Jenrette"
Steven Covino,Sirius XM Radio
Steven D. Black,JPMorgan Chase
Steven Joseph Zaloga,Institute for Defense Analyses
Steven L. Emanuel,Wolters Kluwer
Steven Lawrence Rattner,The New York Times
Steven R. David,Johns Hopkins University
Steven S. Reinemund,Wake Forest University
Stevie Case,Playspan
Stevie Wermers-Skelton,Walt Disney Animation Studios
Stewart Gustav Steven,Western Daily Press
Stormy Peters,Mozilla Corporation
Stuart A. Aaronson M.D.,"Mount Sinai Hospital, New York"
Stuart Bocking,Capital South Coast
Stuart Butler,The Heritage Foundation
Stuart Davies,Avro
Stuart Gulliver,HSBC
Subrahmonian Machendranathan,Ministry of Civil Aviation (India)
Sudhir Shivaram,Schneider Electric
Sue Black,University College London
Sufi,Freelancer
Sugata Bose,Harvard University
Sunder Lal,Banaras Hindu University
Sunil Kant Munjal,Hero MotoCorp
Sunita Shroff,Sky (UK and Ireland)
Suppiah Dhanabalan,Temasek Holdings
Susan Crabtree,The Washington Times
Susan Hart,American International Pictures
Susanna Reid,BBC
Susannah Streeter,BBC
Suzanne Lachelier,United States Navy
Suzumura Kenichi,Arts Vision
Suzy Klein,BBC
Swami Ramanand Tirtha,Ausa
Swami Vipulananda,University of Ceylon
Sydney Camm,Hawker Siddeley
Syed Nomanul Haq,University of Pennsylvania
Syed Saleem Shahzad,Asia Times Online
Sylvia Schmelkes del Valle,Universidad Iberoamericana
Szidi Tobias,Bratislava
Síle Seoige,Raidi%C3%B3 Teilif%C3%ADs %C3%89ireann
T. Christian Miller,ProPublica
T. R. Reid,The Washington Post
Takashi Takeuchi,Type-Moon
Takeshi Mori,Yomiuri Telecasting Corporation
Taliesin Jaffe,New Generation Pictures
Tama Easton,Tasman District Council
Tamar Meisels,Tel Aviv University
Tammy Williams,United States women's national softball team
Tanya Seaman,PhillyCarShare
Tara Ruttley,NASA
Tarus Balog,OpenNMS
Tatsuo Kawai,Ministry of Foreign Affairs (Japan)
Ted Gunderson,Federal Bureau of Investigation
Ted Hendry,American League
Ted Kravitz,Sky Sports
Ted Roop,Larche Communications
Teddy Newton,Pixar
Teddy Turner,Charleston Collegiate School
Teodor Cârnaţ,Moldova State University
Teodoro García Simental,Tijuana Cartel
Teresa Strasser,KABC (AM)
Teresa Wynn Roseborough,The Home Depot
Terrance Hanold,Pillsbury Company
Terry Craft,Major League Baseball
Teun A. van Dijk,Pompeu Fabra University
Thayer Hobson,William Morrow and Company
The Honourable Robert Peston,BBC
The Revd Canon Gordon Reid,"Saint Clement's Church (Philadelphia, Pennsylvania)"
The Rt Revd Trevor Williams,Church of Ireland
Theodor Anton Max Ippen,Foreign Ministry of Austria-Hungary
Theodor Siebs,University of Wroc%C5%82aw
Theodore Alvin Hall,Manhattan Project
Theodore Dehone Judah,Central Pacific Railroad
Theodore J. Bauer,United States Public Health Service
Theodore Low De Vinne,DeVinne Press Building
Theodore Miller Edison,"Calibron Industries, Inc."
Theodore Newton Vail,AT&T Corporation
Theodore Roosevelt IV,Barclays
Theodore Roosevelt V,GoldenTree Asset Management
Theophilus Parsons Pugh,The Courier-Mail
Therese Brandl,Auschwitz concentration camp
Theron S. Copeland,New York City Police Department
Thijs Berman,European Parliament
Thomas Barrie,Donnington Hospital
Thomas Belesis,John Thomas Financial
Thomas Carothers,Carnegie Endowment for International Peace
Thomas E. Ricks,Center for a New American Security
Thomas F. Madden,Saint Louis University
Thomas Haskell Lee,Lee Equity Partners
Thomas Krens,Solomon R. Guggenheim Foundation
Thomas Longridge Gooch,Manchester and Leeds Railway
Thomas Marcus Brownrigg,Associated-Rediffusion
Thomas Mercer Jones,Canada Company
Thomas Nagel,New York University
Thomas Renton Elliott,University College Hospital
Thomas Roberts,MSNBC
Thomas S. Monahan,CIBC Mellon
Thomas S. Steers,New York City Police Department
Thomas Schirrmacher,Martin Bucer Seminary
Thomas Spira,University of Prince Edward Island
Thomas Sterling,Oak Ridge National Laboratory
Thomas Thom Weisel,Thomas Weisel Partners
Thomas Tom Horn Jr.,Pinkerton Government Services
Thomas W. Lentz,Harvard Art Museums
Thomas William Lamont,J.P. Morgan & Co.
Thomas William Worsdell,Pennsylvania Railroad
Thomas Zacharias,National League
Thorleif Enger,Yara International
Tidjane Thiam,Prudential plc
Tiffany Montague,Google
Tiggy Legge-Bourke,"Charles, Prince of Wales"
Till Tantau,University of L%C3%BCbeck
Tim Clark,The Emirates Group
Tim Horshington,Sri Lanka Broadcasting Corporation
Tim Johnson,DreamWorks Animation
Tim Lane,3AW
Tim O,London Underground
Tim Ralfe,CTV Television Network
Tim Vickery,SporTV
Timothy D. Barnes,University of Edinburgh
Timothy J. Bartik,W. E. Upjohn Institute for Employment Research
Timothy J. Broderick,University of Cincinnati
Timothy Leary,"University of California, Berkeley"
Tina Malone,Channel 4
Tipu Aziz,John Radcliffe Hospital
Tito Vallejo,British Army
Toby Foster,BBC
Todd Howard,Bethesda Game Studios
Todd Swift,Kingston University
Tom Aspell,NBC News
Tom Barrett,Sunbeam (car company)
Tom Burnett,Thoratec
Tom Dunne,Newstalk
Tom Humphries,The Irish Times
Tom Keith,Minnesota Public Radio
Tom L. Beauchamp,Georgetown University
